ID	Normoxia.Avg..log2.	Hypoxia.Avg..log2.	Fold.Change	P.val	FDR.P.val	Gene.Symbol	Description
225585_at	9.4	10.35	-1.93	5e-04	0.0072	RAP2A	RAP2A, member of RAS oncogene family
225592_at	9.44	8.73	1.63	0.0029	0.0262	NRM	nurim (nuclear envelope membrane protein)
225593_at	9.09	8.39	1.63	0.0056	0.0424	LSM10	LSM10, U7 small nuclear RNA associated
225595_at	5.58	6.37	-1.73	0.0045	0.0359	CREBZF	CREB/ATF bZIP transcription factor
225598_at	6.82	7.87	-2.07	0.0015	0.0163	SLC45A4	solute carrier family 45, member 4
225601_at	10.93	8.41	5.73	4.89e-05	0.005	HMGB3	high mobility group box 3
225606_at	9.98	8.62	2.56	5e-04	0.0149	BCL2L11	BCL2-like 11 (apoptosis facilitator)
225609_at	9.47	8.47	2	0.0021	0.0353	GSR	glutathione reductase
225610_at	9.91	11.24	-2.52	4.85e-05	0.0017	UHRF2	ubiquitin-like with PHD and ring finger domains 2, E3 ubiquitin protein ligase
225612_s_at	6.11	6.76	-1.56	0.0047	0.0371	B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5
225619_at	5.11	3.91	2.29	1e-04	0.0027	SLAIN1	SLAIN motif family member 1
225621_at	11.51	13	-2.82	2.19e-05	0.001	ALG2	ALG2, alpha-1,3/1,6-mannosyltransferase
225624_at	7.88	6.58	2.47	4e-04	0.0143	SNX29	sorting nexin 29
225627_s_at	6.27	5.29	1.97	0.0028	0.0419	CACHD1	cache domain containing 1
225634_at	9.59	8.82	1.71	0.0061	0.045	ZC3HAV1	zinc finger CCCH-type, antiviral 1
225636_at	8.66	9.69	-2.05	3e-04	0.005	STAT2	signal transducer and activator of transcription 2
225641_at	7.06	8.18	-2.18	2e-04	0.0035	MEF2D	myocyte enhancer factor 2D
225643_at	10.16	9.35	1.75	0.0046	0.0366	MAPK1IP1L	mitogen-activated protein kinase 1 interacting protein 1-like
225644_at	9.96	9.3	1.59	0.0044	0.0358	CCDC117	coiled-coil domain containing 117
225650_at	8.07	7.03	2.06	3e-04	0.0055	SAMD1	sterile alpha motif domain containing 1
225651_at	9.19	10.08	-1.85	7e-04	0.0094	UBE2E2	ubiquitin conjugating enzyme E2E 2
225655_at	11.24	6.27	31.52	4.07e-06	0.0021	UHRF1	ubiquitin-like with PHD and ring finger domains 1
225664_at	8.91	7.77	2.21	3e-04	0.0057	COL12A1	collagen, type XII, alpha 1
225666_at	8.34	6.85	2.8	3e-04	0.0317	TMTC4	transmembrane and tetratricopeptide repeat containing 4
225671_at	7.8	8.87	-2.11	5e-04	0.0079	SPNS2	spinster homolog 2 (Drosophila)
225672_at	9.36	10.43	-2.1	2e-04	0.0044	GOLGA2	golgin A2
225675_at	7.73	8.66	-1.91	6e-04	0.0087	TMEM260	transmembrane protein 260
225678_at	8.57	7.44	2.19	5e-04	0.0075	POLR3H	polymerase (RNA) III (DNA directed) polypeptide H (22.9kD)
225680_at	9.14	8.01	2.19	0.0013	0.0259	LRWD1	leucine-rich repeats and WD repeat domain containing 1
225681_at	7.3	9.23	-3.83	4.71e-06	5e-04	CTHRC1	collagen triple helix repeat containing 1
225684_at	12.35	10.58	3.39	6.89e-06	6e-04	SKA2	spindle and kinetochore associated complex subunit 2
225687_at	11.19	9.91	2.43	0.0015	0.0286	FAM83D	family with sequence similarity 83, member D
225695_at	9.96	9.15	1.75	0.0068	0.0488	SLC35F6	solute carrier family 35, member F6
225698_at	10.28	12.42	-4.39	1.73e-06	3e-04	EPB41L4A-AS1	EPB41L4A antisense RNA 1
225701_at	7.23	8.01	-1.72	0.0021	0.0204	AKNA	AT-hook transcription factor
225705_at	8.69	10.11	-2.67	0.0022	0.0359	CEP95	centrosomal protein 95kDa
225708_at	7.99	7.16	1.79	0.0014	0.0158	MED29	mediator complex subunit 29
225712_at	8.92	7.87	2.07	0.0021	0.0355	GEMIN5	gem nuclear organelle associated protein 5
225722_at	8.21	7.49	1.65	0.0053	0.0406	UCK2	uridine-cytidine kinase 2
225723_at	8.87	9.91	-2.05	7e-04	0.0096	CCDC167	coiled-coil domain containing 167
225725_at	7.91	9.47	-2.95	1.63e-05	9e-04	ZMAT3	zinc finger, matrin-type 3
225732_at	9.43	7.18	4.78	1.38e-05	0.003	KLHL42	kelch-like family member 42
225733_at	7.91	7.26	1.57	0.0046	0.0369	B3GALT6	UDP-Gal:betaGal beta 1,3-galactosyltransferase 6
225740_x_at	8.32	9.88	-2.96	2.27e-05	0.0011	MDM4	MDM4, p53 regulator
225748_at	9.36	8.38	1.98	5e-04	0.0077	LTV1	LTV1 ribosome biogenesis factor
225750_at	9.7	12.99	-9.82	5.51e-06	0.0116	ERO1A	endoplasmic reticulum oxidoreductase alpha
225760_at	6.72	7.72	-2	6e-04	0.0084	MYSM1	Myb-like, SWIRM and MPN domains 1
225764_at	7.45	6.21	2.36	0.0013	0.0259	ETV6	ets variant 6
225769_at	9.27	11.46	-4.57	4.2e-05	0.0047	COG6	component of oligomeric golgi complex 6
225771_at	11.05	10.38	1.58	0.0046	0.0369	AP1G1	adaptor-related protein complex 1, gamma 1 subunit
225777_at	10.5	8.35	4.43	1.78e-05	0.0032	SAPCD2	suppressor APC domain containing 2
225779_at	7.94	6.67	2.41	0.0028	0.0421	SLC27A4	solute carrier family 27 (fatty acid transporter), member 4
225781_at	8.91	8.19	1.65	0.0026	0.0244	MAPK9	mitogen-activated protein kinase 9
225788_at	10.93	9.79	2.2	0.0029	0.0433	RRP36	ribosomal RNA processing 36
225792_at	7.99	9.45	-2.75	2.72e-05	0.0012	HOOK1	hook microtubule-tethering protein 1
225809_at	5.36	6.7	-2.55	6e-04	0.017	PARM1	prostate androgen-regulated mucin-like protein 1
225814_at	8.2	9.17	-1.97	4e-04	0.0068	XRN1	5'-3' exoribonuclease 1
225817_at	6.62	5.46	2.22	0.0022	0.0212	CGNL1	cingulin-like 1
225821_s_at	8.53	9.23	-1.62	0.0034	0.0295	BOD1L1	biorientation of chromosomes in cell division 1-like 1
225822_at	7.75	9.43	-3.2	3e-04	0.0328	TMEM125	transmembrane protein 125
225824_at	11.17	12.2	-2.04	0.0034	0.0482	CCNK	cyclin K
225837_at	9.07	8.3	1.7	0.0029	0.0261	RHNO1	RAD9-HUS1-RAD1 interacting nuclear orphan 1
225839_at	6.18	7	-1.77	0.0017	0.0174	RBM33	RNA binding motif protein 33
225841_at	10.72	9.08	3.12	6e-04	0.0418	HENMT1	HEN1 methyltransferase homolog 1 (Arabidopsis)
225842_at	9.59	8.57	2.02	0.006	0.0444	PHLDA1	pleckstrin homology-like domain, family A, member 1
225846_at	11.8	13.16	-2.56	5.78e-05	0.0018	ESRP1	epithelial splicing regulatory protein 1
225847_at	6.2	4.76	2.73	4e-04	0.0144	NCEH1	neutral cholesterol ester hydrolase 1
225848_at	8.66	7.93	1.66	0.0024	0.023	ZNF746	zinc finger protein 746
225866_at	11.64	12.25	-1.53	0.0062	0.0456	RPF2	ribosome production factor 2 homolog
225886_at	7.99	7.06	1.91	6e-04	0.0086	DDX5	DEAD (Asp-Glu-Ala-Asp) box helicase 5
225897_at	9.28	8.37	1.88	0.0035	0.0302	MARCKS	myristoylated alanine-rich protein kinase C substrate
225898_at	10.77	12.33	-2.94	2.23e-05	0.001	WDR54	WD repeat domain 54
225902_at	7.47	8.16	-1.62	0.0033	0.0291	PPIG	peptidylprolyl isomerase G (cyclophilin G)
225904_at	8.97	10	-2.04	0.0016	0.0171	CCSAP	centriole, cilia and spindle-associated protein
225910_at	9.14	10.28	-2.2	0.001	0.0484	HELZ	helicase with zinc finger
225912_at	10.47	11.62	-2.21	3e-04	0.0048	TP53INP1	tumor protein p53 inducible nuclear protein 1
225917_at	9.55	8.09	2.76	3.32e-05	0.0013	ATF7IP	activating transcription factor 7 interacting protein
225918_at	8.73	9.41	-1.6	0.0043	0.0347	GLG1	golgi glycoprotein 1
225919_s_at	6.44	8.3	-3.63	1.54e-05	9e-04	C9orf72	chromosome 9 open reading frame 72
225921_at	8.27	7.37	1.86	7e-04	0.0098	NIN	ninein (GSK3B interacting protein)
225929_s_at	7.41	6.29	2.17	0.0014	0.0279	RNF213	ring finger protein 213
225933_at	8.22	7.3	1.88	7e-04	0.009	CCDC137	coiled-coil domain containing 137
225936_at	8.89	7.39	2.83	8.48e-05	0.0024	EID2	EP300 interacting inhibitor of differentiation 2
225946_at	8.01	7.24	1.71	0.0036	0.0308	RASSF8	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8
225950_at	5.77	7.49	-3.29	1.31e-05	8e-04	SAMD8	sterile alpha motif domain containing 8
225951_s_at	10.63	11.56	-1.91	5e-04	0.0076	LINC01578	long intergenic non-protein coding RNA 1578
225972_at	10.68	8.61	4.2	0.0013	0.0264	TMEM64	transmembrane protein 64
225980_at	8.98	10.11	-2.19	0.0012	0.0139	ELMSAN1	ELM2 and Myb/SANT-like domain containing 1
225982_at	9.04	7.77	2.41	6e-04	0.0394	UBTF	upstream binding transcription factor, RNA polymerase I
225989_at	7.52	8.35	-1.78	0.0064	0.0463	HERC4	HECT and RLD domain containing E3 ubiquitin protein ligase 4
225997_at	9.69	8.92	1.7	0.0019	0.019	MOB1B	MOB kinase activator 1B
226005_at	10.08	8.72	2.56	0.0025	0.0394	UBE2G1	ubiquitin conjugating enzyme E2G 1
226015_at	9.82	11.15	-2.52	2e-04	0.0036	ZNF12	zinc finger protein 12
226022_at	8.09	8.68	-1.51	0.0068	0.0489	SASH1	SAM and SH3 domain containing 1
226030_at	6.77	6.06	1.64	0.0026	0.0244	ACADSB	acyl-CoA dehydrogenase, short/branched chain
226032_at	10.42	9.27	2.22	2e-04	0.0037	CASP2	caspase 2
226034_at	9.11	9.75	-1.56	0.0065	0.0469	DUSP4	dual specificity phosphatase 4
226037_s_at	10.3	8.86	2.71	0.0014	0.027	TAF9B	TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa
226038_at	8.83	10.2	-2.58	6.17e-05	0.0019	LONRF1	LON peptidase N-terminal domain and ring finger 1
226040_at	7.3	6.2	2.14	0.0033	0.0468	TRIM56	tripartite motif containing 56
226041_at	7.64	5.91	3.32	0.0012	0.0245	NAPEPLD	N-acyl phosphatidylethanolamine phospholipase D
226045_at	7.3	6.09	2.31	0.0017	0.0311	FRS2	fibroblast growth factor receptor substrate 2
226050_at	9.47	11.19	-3.3	1.65e-05	9e-04	TMCO3	transmembrane and coiled-coil domains 3
226059_at	7.36	5.72	3.11	1e-04	0.0081	TOMM40L	translocase of outer mitochondrial membrane 40 homolog (yeast)-like
226063_at	9.62	8.82	1.74	0.0013	0.015	VAV2	vav 2 guanine nucleotide exchange factor
226066_at	8.66	9.46	-1.74	0.0019	0.0195	MITF	microphthalmia-associated transcription factor
226068_at	7.61	6.42	2.27	9e-04	0.0455	SYK	spleen tyrosine kinase
226078_at	8.66	7.98	1.6	0.0038	0.0316	RPUSD1	RNA pseudouridylate synthase domain containing 1
226088_at	9.39	8.62	1.7	0.0021	0.0203	ZDHHC12	zinc finger, DHHC-type containing 12
226093_at	8.08	9.05	-1.95	7e-04	0.0093	DCP1B	decapping mRNA 1B
226100_at	7.92	9.47	-2.93	1.84e-05	9e-04	KMT2E	lysine (K)-specific methyltransferase 2E
226105_at	6.06	8.26	-4.6	1e-04	0.0077	C1GALT1	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1
226110_at	8.69	9.52	-1.78	0.0011	0.0126	PTAR1	protein prenyltransferase alpha subunit repeat containing 1
226119_at	8.49	10.02	-2.89	2.28e-05	0.0011	PCMTD1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
226122_at	4.65	5.64	-1.98	4e-04	0.0062	PLEKHG1	pleckstrin homology domain containing, family G (with RhoGef domain) member 1
226127_at	7.72	8.51	-1.73	0.0016	0.0167	ALKBH3	alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase
226128_at	10.15	10.78	-1.54	0.0056	0.0421	BROX	BRO1 domain and CAAX motif containing
226129_at	10.2	8.51	3.23	2e-04	0.01	FAM83H	family with sequence similarity 83, member H
226132_s_at	8.27	6.45	3.53	5.75e-05	0.0018	MANEAL	mannosidase, endo-alpha-like
226134_s_at	9.95	8.61	2.53	2e-04	0.0037	MSI2	musashi RNA binding protein 2
226135_at	9.59	10.67	-2.12	2e-04	0.0045	UHRF1BP1	UHRF1 binding protein 1
226139_at	6.81	7.65	-1.79	0.001	0.0124	CCDC149	coiled-coil domain containing 149
226154_at	9.31	7.89	2.68	6e-04	0.017	DNM1L	dynamin 1-like
226155_at	9.13	9.79	-1.59	0.0063	0.0459	FAM160B1	family with sequence similarity 160, member B1
226157_at	7.41	6.32	2.14	6e-04	0.0081	TFDP2	transcription factor Dp-2 (E2F dimerization partner 2)
226158_at	5.92	8.48	-5.9	1.51e-05	0.0031	KLHL24	kelch-like family member 24
226159_at	9.86	10.76	-1.87	8e-04	0.0104	C5orf51	chromosome 5 open reading frame 51
226163_at	8.82	7.88	1.91	0.003	0.0436	SYNGAP1; ZBTB9	synaptic Ras GTPase activating protein 1; zinc finger and BTB domain containing 9
226181_at	5.71	8.37	-6.32	2e-04	0.0104	TUBE1	tubulin, epsilon 1
226194_at	7.44	6.05	2.61	4e-04	0.0142	CHAMP1	chromosome alignment maintaining phosphoprotein 1
226197_at	9.13	7.53	3.03	2e-04	0.0292	AR	androgen receptor
226199_at	8.23	9.51	-2.43	6e-04	0.039	UPRT	uracil phosphoribosyltransferase (FUR1) homolog (S. cerevisiae)
226201_at	7.51	8.32	-1.75	0.007	0.0498	DOT1L	DOT1-like histone H3K79 methyltransferase
226203_at	7.72	8.61	-1.86	0.0021	0.0208	MYO9A	myosin IXA
226206_at	9.14	10.61	-2.77	2.66e-05	0.0012	MAFK	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog K
226215_s_at	9.67	8.76	1.88	0.0035	0.0485	KDM2B	lysine (K)-specific demethylase 2B
226222_at	7.17	8.34	-2.24	1e-04	0.0033	RIC1	RIC1 homolog, RAB6A GEF complex partner 1
226227_x_at	11.98	13.07	-2.12	2e-04	0.0043	ZFAS1	ZNFX1 antisense RNA 1
226230_at	7.97	8.75	-1.72	0.0028	0.0255	PPP4R3B	protein phosphatase 4, regulatory subunit 3B
226242_at	10.43	9.38	2.07	7e-04	0.009	C1orf131	chromosome 1 open reading frame 131
226253_at	7.45	5.62	3.55	1e-04	0.0071	LRRC45	leucine rich repeat containing 45
226269_at	9.15	8.01	2.2	0.0021	0.0205	GDAP1	ganglioside induced differentiation associated protein 1
226275_at	9.08	11.12	-4.12	6.65e-05	0.0442	MXD1	MAX dimerization protein 1
226277_at	8.96	9.68	-1.64	0.0027	0.0249	COL4A3BP	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein
226279_at	11.53	7.84	12.85	1.99e-06	0.0017	PRSS23	protease, serine, 23
226280_at	6.87	8.05	-2.27	1e-04	0.0029	BNIP2	BCL2/adenovirus E1B 19kDa interacting protein 2
226281_at	4.87	5.89	-2.02	0.0028	0.0257	DNER	delta/notch like EGF repeat containing
226283_at	8.47	9.08	-1.53	0.0058	0.0432	POC1B	POC1 centriolar protein B
226284_at	9.35	7.98	2.58	5e-04	0.007	ZBTB2	zinc finger and BTB domain containing 2
226294_x_at	10.4	11.18	-1.72	0.002	0.0196	FAM91A1	family with sequence similarity 91, member A1
226301_at	5.43	6.46	-2.04	0.004	0.0332	SLC18B1	solute carrier family 18, subfamily B, member 1
226308_at	8.46	7.12	2.53	5.04e-05	0.0017	HAUS8	HAUS augmin like complex subunit 8
226312_at	8.54	9.43	-1.85	7e-04	0.0097	RICTOR	RPTOR independent companion of MTOR, complex 2
226317_at	7.1	8.16	-2.09	4e-04	0.0063	PPP4R2	protein phosphatase 4, regulatory subunit 2
226320_at	11.47	10.03	2.71	0.0011	0.0238	ALYREF	Aly/REF export factor
226321_at	8.9	10.97	-4.22	7e-04	0.0427	LYSMD3	LysM, putative peptidoglycan-binding, domain containing 3
226326_at	7.43	9.52	-4.27	3.56e-06	4e-04	PCGF5	polycomb group ring finger 5
226329_s_at	6.85	7.56	-1.63	0.0044	0.0355	MITD1	microtubule interacting and trafficking domain containing 1
226331_at	7.33	8.79	-2.76	1e-04	0.0028	BBX	bobby sox homolog (Drosophila)
226333_at	6.26	7.18	-1.89	0.0016	0.017	IL6R	interleukin 6 receptor
226337_at	7.87	9.23	-2.56	4.84e-05	0.0017	GORAB	golgin, RAB6-interacting
226345_at	10.26	11.85	-3	1.5e-05	8e-04	ARL5B	ADP-ribosylation factor like GTPase 5B
226346_at	7.45	6.41	2.07	2e-04	0.0047	MEX3A	mex-3 RNA binding family member A
226348_at	7.95	9.97	-4.05	5.72e-05	0.0159	FUT11	fucosyltransferase 11 (alpha (1,3) fucosyltransferase)
226352_at	8.43	10.51	-4.21	0.0017	0.0314	JMY	junction mediating and regulatory protein, p53 cofactor
226354_at	11.45	10.25	2.31	0.0014	0.028	LACTB	lactamase, beta
226360_at	7.85	4.9	7.71	1.3e-05	0.0138	ZNRF3	zinc and ring finger 3
226361_at	7.4	8.04	-1.56	0.0049	0.0386	TMEM42	transmembrane protein 42
226364_at	8.56	7.32	2.36	0.0027	0.041	HIP1	huntingtin interacting protein 1
226370_at	7.23	8.1	-1.82	0.0029	0.0259	KLHL15	kelch-like family member 15
226377_at	7.9	6.53	2.58	4e-04	0.0135	NFIC	nuclear factor I/C (CCAAT-binding transcription factor)
226383_at	7.7	8.46	-1.69	0.0019	0.0189	ARL14EP	ADP-ribosylation factor like GTPase 14 effector protein
226390_at	6.75	9.19	-5.39	0.0023	0.037	STARD4	StAR-related lipid transfer domain containing 4
226391_at	7.34	8.16	-1.76	0.0033	0.029	BRAF	B-Raf proto-oncogene, serine/threonine kinase
226392_at	8.26	8.93	-1.59	0.0049	0.0383	RASA2	RAS p21 protein activator 2
226395_at	6.1	7.18	-2.11	4e-04	0.007	HOOK3	hook microtubule-tethering protein 3
226398_s_at	8.42	9.36	-1.92	5e-04	0.0077	FRA10AC1	fragile site, folic acid type, rare, fra(10)(q23.3) or fra(10)(q24.2) candidate 1
226403_at	9.78	11.19	-2.66	8e-04	0.0192	TMC4	transmembrane channel like 4
226406_at	9.12	10.04	-1.89	6e-04	0.008	C18orf25	chromosome 18 open reading frame 25
226408_at	10.31	8.39	3.8	3.98e-05	0.0045	TEAD2	TEA domain family member 2
226409_at	7.82	8.48	-1.58	0.006	0.0445	TBC1D20	TBC1 domain family, member 20
226420_at	6.68	4.18	5.63	3.36e-05	0.0177	MECOM	MDS1 and EVI1 complex locus
226425_at	4.54	5.33	-1.73	0.0041	0.0337	CLIP4	CAP-GLY domain containing linker protein family, member 4
226426_at	9.05	7.97	2.1	0.0024	0.0379	ADNP	activity-dependent neuroprotector homeobox
226435_at	5.47	4.65	1.76	0.0018	0.0181	PAPLN	papilin, proteoglycan-like sulfated glycoprotein
226438_at	4.98	5.78	-1.74	0.0018	0.0185	SNTB1	syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)
226441_at	6.99	8.19	-2.29	2e-04	0.0038	MAP3K2	mitogen-activated protein kinase kinase kinase 2
226446_at	8.59	7.81	1.71	0.002	0.0198	HES6	hes family bHLH transcription factor 6
226449_at	8.23	9.89	-3.17	3e-04	0.0115	CEP120	centrosomal protein 120kDa
226452_at	8.18	9.14	-1.94	2e-04	0.0368	PDK1	pyruvate dehydrogenase kinase, isozyme 1
226456_at	10.45	9.24	2.3	1e-04	0.0027	RMI2	RecQ mediated genome instability 2
226467_at	7.16	6.42	1.67	0.0022	0.021	TANGO6	transport and golgi organization 6 homolog
226472_at	7.48	9.09	-3.07	2.24e-05	0.0011	PPIL4	peptidylprolyl isomerase (cyclophilin)-like 4
226473_at	10.06	8.73	2.5	4e-04	0.0144	CBX2	chromobox homolog 2
226483_at	6.34	7.68	-2.52	3e-04	0.0048	TMEM68	transmembrane protein 68
226485_at	8.25	6.62	3.09	3e-04	0.0053	VSIG10	V-set and immunoglobulin domain containing 10
226487_at	7.6	6.45	2.22	0.0029	0.0431	FAM222A	family with sequence similarity 222, member A
226488_at	9.39	8.54	1.8	0.001	0.0124	RCCD1	RCC1 domain containing 1
226490_at	7.24	5.94	2.46	0.0011	0.0243	NHSL1	NHS-like 1
226496_at	8.09	9.95	-3.64	1.31e-05	8e-04	ZCCHC7	zinc finger, CCHC domain containing 7
226499_at	10.14	8.06	4.22	7.25e-05	0.006	NRARP	NOTCH-regulated ankyrin repeat protein
226501_at	8.7	7.64	2.08	0.0026	0.0402	XPNPEP3	X-prolyl aminopeptidase 3, mitochondrial
226506_at	8.81	7.56	2.39	5e-04	0.0074	THSD4	thrombospondin type 1 domain containing 4
226508_at	10.11	11.21	-2.15	2e-04	0.0038	PHC3	polyhomeotic homolog 3 (Drosophila)
226512_at	8.36	9.43	-2.11	2e-04	0.0042	ZMYM2	zinc finger, MYM-type 2
226518_at	10.09	10.71	-1.54	0.0068	0.0487	KCTD10	potassium channel tetramerization domain containing 10
226519_s_at	7.26	8.04	-1.72	0.0017	0.018	PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase
226520_at	8.09	9.19	-2.15	2e-04	0.0043	LCOR	ligand dependent nuclear receptor corepressor
226525_at	8.21	9.84	-3.1	1.39e-05	8e-04	STK17B	serine/threonine kinase 17b
226528_at	7.88	8.95	-2.09	2e-04	0.0045	MTX3	metaxin 3
226529_at	9.04	10.02	-1.98	7e-04	0.0095	TMEM106B	transmembrane protein 106B
226531_at	8.52	7.34	2.27	0.0017	0.0302	ORAI1	ORAI calcium release-activated calcium modulator 1
226542_at	7.24	8.01	-1.71	0.0018	0.0184	RNF24	ring finger protein 24
226545_at	7.56	8.97	-2.66	6e-04	0.0176	CD109	CD109 molecule
226549_at	8.4	7.63	1.71	0.0019	0.0189	SBK1	SH3 domain binding kinase 1
226552_at	9.59	10.66	-2.11	6.88e-05	0.0178	IER5L	immediate early response 5-like
226563_at	8.78	9.92	-2.2	1e-04	0.0032	SMAD2	SMAD family member 2
226565_at	9.04	9.66	-1.54	0.0057	0.0429	TMEM99	transmembrane protein 99
226568_at	11.98	11.23	1.68	0.0028	0.0256	FAM102B	family with sequence similarity 102, member B
226569_s_at	8.19	7.36	1.78	0.0038	0.0317	CHTF18	chromosome transmission fidelity factor 18
226571_s_at	9.35	8.23	2.17	0.0011	0.0236	PTPRS	protein tyrosine phosphatase, receptor type, S
226575_at	7.82	6.99	1.78	0.0013	0.0147	ZNF462	zinc finger protein 462
226577_at	8.5	9.48	-1.97	4e-04	0.0068	PSEN1	presenilin 1
226583_at	7.37	8.84	-2.77	2e-04	0.0097	C12orf76	chromosome 12 open reading frame 76
226588_at	7.57	8.27	-1.62	0.0054	0.0411	CWC22	CWC22 homolog, spliceosome-associated protein
226596_x_at	7.03	7.94	-1.89	0.001	0.0124	UMAD1	UBAP1-MVB12-associated (UMA) domain containing 1
226599_at	8.73	7.74	1.99	4e-04	0.0063	FHDC1	FH2 domain containing 1
226601_at	7.18	8.41	-2.34	7e-04	0.0427	SLC30A7	solute carrier family 30 (zinc transporter), member 7
226607_at	6.63	7.36	-1.66	0.0024	0.0231	C20orf194	chromosome 20 open reading frame 194
226610_at	7.61	6.55	2.08	0.0038	0.0321	CENPV	centromere protein V
226612_at	10.75	8.94	3.52	2.87e-05	0.0012	UBE2QL1	ubiquitin conjugating enzyme E2Q family-like 1
226615_at	6.46	5.43	2.04	0.0018	0.0324	XPR1	xenotropic and polytropic retrovirus receptor 1
226633_at	8.57	9.71	-2.21	2e-04	0.0035	RAB8B	RAB8B, member RAS oncogene family
226636_at	6.13	6.97	-1.78	0.0022	0.0217	PLD1	phospholipase D1, phosphatidylcholine-specific
226641_at	4.35	3.59	1.69	0.0018	0.0185	ANKRD44	ankyrin repeat domain 44
226650_at	10.33	12.18	-3.6	5.24e-06	5e-04	ZFAND2A	zinc finger, AN1-type domain 2A
226652_at	8.15	6.81	2.53	8e-04	0.0204	USP3	ubiquitin specific peptidase 3
226661_at	9.06	8.02	2.06	5e-04	0.0078	CDCA2	cell division cycle associated 2
226666_at	10.01	10.7	-1.61	0.0037	0.0311	DAAM1	dishevelled associated activator of morphogenesis 1
226670_s_at	8.08	10.44	-5.13	8.25e-07	2e-04	PABPC1L	poly(A) binding protein, cytoplasmic 1-like
226671_at	5.52	6.36	-1.8	0.001	0.0118	LAMP2	lysosomal-associated membrane protein 2
226679_at	9.48	8.68	1.73	0.002	0.0202	SLC26A11	solute carrier family 26 (anion exchanger), member 11
226680_at	6.7	7.67	-1.96	0.0012	0.0139	IKZF5	IKAROS family zinc finger 5
226682_at	3.69	6.76	-8.36	2.52e-05	0.0176	RORA	RAR-related orphan receptor A
226683_at	9.99	10.77	-1.72	0.0021	0.0205	SNX18	sorting nexin 18
226688_at	6.99	8.12	-2.18	2e-04	0.0039	TCAIM	T cell activation inhibitor, mitochondrial
226696_at	8.15	7.25	1.86	0.0017	0.0178	RBBP9	retinoblastoma binding protein 9
226700_at	7.12	8.05	-1.91	5e-04	0.0078	U2AF1L4	U2 small nuclear RNA auxiliary factor 1-like 4
226717_at	7.92	8.56	-1.55	0.005	0.0388	LRTOMT	leucine rich transmembrane and O-methyltransferase domain containing
226719_at	8.05	9.6	-2.92	3.01e-05	0.0012	DERL2	derlin 2
226722_at	7.26	5.95	2.47	6e-04	0.0083	FAM20C	family with sequence similarity 20, member C
226730_s_at	7.79	8.92	-2.19	5e-04	0.007	USP37	ubiquitin specific peptidase 37
226733_at	6.52	7.61	-2.13	0.0017	0.0178	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2
226747_at	8.2	9.03	-1.78	0.0011	0.0127	TXNDC16	thioredoxin domain containing 16
226752_at	9.34	10.08	-1.67	0.0029	0.0263	FAM174A	family with sequence similarity 174, member A
226756_at	6.79	5.49	2.47	7e-04	0.0429	CCDC71L	coiled-coil domain containing 71-like
226773_at	8.47	9.7	-2.35	9.47e-05	0.0025	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent, 1K
226776_at	5.55	4.78	1.7	0.0026	0.0241	ENY2	enhancer of yellow 2 homolog (Drosophila)
226779_at	9.18	10.66	-2.79	8e-04	0.0445	LMBRD2	LMBR1 domain containing 2
226796_at	6.69	5.25	2.7	4e-04	0.0139	ABHD15	abhydrolase domain containing 15
226798_at	7.85	8.47	-1.53	0.006	0.0445	BCL2L13	BCL2-like 13 (apoptosis facilitator)
226801_s_at	11.44	12.22	-1.73	0.0024	0.023	AIDA	axin interactor, dorsalization associated
226803_at	9.75	10.97	-2.33	9.18e-05	0.0025	CHMP4C	charged multivesicular body protein 4C
226805_at	9.79	8.93	1.81	0.0011	0.0129	FITM2	fat storage-inducing transmembrane protein 2
226806_s_at	7.02	5.34	3.21	9.18e-05	0.0065	NFIA	nuclear factor I/A
226817_at	8.51	10.12	-3.06	3.49e-05	0.0014	DSC2	desmocollin 2
226820_at	9.78	8.78	1.99	4e-04	0.007	ZNF362	zinc finger protein 362
226826_at	8.17	8.92	-1.68	0.002	0.0199	LSM11	LSM11, U7 small nuclear RNA associated
226838_at	6.63	5.3	2.52	2e-04	0.0035	TTC32	tetratricopeptide repeat domain 32
226839_at	10.14	8.46	3.2	1e-04	0.0073	NR2C2AP	nuclear receptor 2C2-associated protein
226859_at	7.91	10.09	-4.54	1.63e-06	3e-04	DNAJC25	DnaJ (Hsp40) homolog, subfamily C , member 25
226863_at	8.37	11.53	-8.98	5.27e-07	2e-04	FAM110C	family with sequence similarity 110, member C
226866_at	9.97	11.52	-2.93	2.02e-05	0.001	ESCO1	establishment of sister chromatid cohesion N-acetyltransferase 1
